example_id,relation_key,relation_group,subject,prompt,prompt_key,verdict
landmark_in_country__0131,landmark_in_country,factual,Kikoso Monument,What country is Kikoso Monument in?,What country is Kikoso Monument in?,clean
landmark_in_country__0132,landmark_in_country,factual,Ludose Tower,What country is Ludose Tower in?,What country is Ludose Tower in?,clean
landmark_in_country__0133,landmark_in_country,factual,Keriba Hall,What country is Keriba Hall in?,What country is Keriba Hall in?,clean
landmark_in_country__0134,landmark_in_country,factual,Talure Bridge,What country is Talure Bridge in?,What country is Talure Bridge in?,clean
landmark_in_country__0135,landmark_in_country,factual,Ritedi Plaza,What country is Ritedi Plaza in?,What country is Ritedi Plaza in?,clean
landmark_in_country__0136,landmark_in_country,factual,Ladala Park,What country is Ladala Park in?,What country is Ladala Park in?,clean
landmark_in_country__0137,landmark_in_country,factual,Kokala Plaza,What country is Kokala Plaza in?,What country is Kokala Plaza in?,clean
landmark_in_country__0138,landmark_in_country,factual,Lobasi Monument,What country is Lobasi Monument in?,What country is Lobasi Monument in?,clean
landmark_in_country__0139,landmark_in_country,factual,Birede Monument,What country is Birede Monument in?,What country is Birede Monument in?,clean
landmark_in_country__0140,landmark_in_country,factual,Karasa Tower,What country is Karasa Tower in?,What country is Karasa Tower in?,clean
landmark_in_country__0141,landmark_in_country,factual,Katere Monument,What country is Katere Monument in?,What country is Katere Monument in?,clean
landmark_in_country__0142,landmark_in_country,factual,Libesi Park,What country is Libesi Park in?,What country is Libesi Park in?,clean
landmark_in_country__0143,landmark_in_country,factual,Sikasa Monument,What country is Sikasa Monument in?,What country is Sikasa Monument in?,clean
landmark_in_country__0144,landmark_in_country,factual,Karude Park,What country is Karude Park in?,What country is Karude Park in?,clean
landmark_in_country__0145,landmark_in_country,factual,Sekeko Park,What country is Sekeko Park in?,What country is Sekeko Park in?,clean
landmark_in_country__0146,landmark_in_country,factual,Lokite Monument,What country is Lokite Monument in?,What country is Lokite Monument in?,clean
landmark_in_country__0147,landmark_in_country,factual,Bekosa Museum,What country is Bekosa Museum in?,What country is Bekosa Museum in?,clean
landmark_in_country__0148,landmark_in_country,factual,Sekodo Bridge,What country is Sekodo Bridge in?,What country is Sekodo Bridge in?,clean
landmark_in_country__0149,landmark_in_country,factual,Kosose Park,What country is Kosose Park in?,What country is Kosose Park in?,clean
landmark_in_country__0150,landmark_in_country,factual,Rarubu Museum,What country is Rarubu Museum in?,What country is Rarubu Museum in?,clean
landmark_in_country__0151,landmark_in_country,factual,Bukolo Tower,What country is Bukolo Tower in?,What country is Bukolo Tower in?,clean
landmark_in_country__0152,landmark_in_country,factual,Resiro Hall,What country is Resiro Hall in?,What country is Resiro Hall in?,clean
landmark_in_country__0153,landmark_in_country,factual,Lireba Monument,What country is Lireba Monument in?,What country is Lireba Monument in?,clean
landmark_in_country__0154,landmark_in_country,factual,Kadusi Monument,What country is Kadusi Monument in?,What country is Kadusi Monument in?,clean
landmark_in_country__0155,landmark_in_country,factual,Sosike Monument,What country is Sosike Monument in?,What country is Sosike Monument in?,clean
landmark_in_country__0156,landmark_in_country,factual,Kikaro Plaza,What country is Kikaro Plaza in?,What country is Kikaro Plaza in?,clean
landmark_in_country__0157,landmark_in_country,factual,Lodolo Plaza,What country is Lodolo Plaza in?,What country is Lodolo Plaza in?,clean
landmark_in_country__0158,landmark_in_country,factual,Redudi Museum,What country is Redudi Museum in?,What country is Redudi Museum in?,clean
landmark_in_country__0159,landmark_in_country,factual,Lokiru Bridge,What country is Lokiru Bridge in?,What country is Lokiru Bridge in?,clean
landmark_in_country__0160,landmark_in_country,factual,Babedi Park,What country is Babedi Park in?,What country is Babedi Park in?,clean
landmark_in_country__0161,landmark_in_country,factual,Kibota Plaza,What country is Kibota Plaza in?,What country is Kibota Plaza in?,clean
landmark_in_country__0162,landmark_in_country,factual,Kiduso Hall,What country is Kiduso Hall in?,What country is Kiduso Hall in?,clean
landmark_in_country__0163,landmark_in_country,factual,Ruriba Tower,What country is Ruriba Tower in?,What country is Ruriba Tower in?,clean
landmark_in_country__0164,landmark_in_country,factual,Setaru Bridge,What country is Setaru Bridge in?,What country is Setaru Bridge in?,clean
landmark_in_country__0165,landmark_in_country,factual,Kotasi Bridge,What country is Kotasi Bridge in?,What country is Kotasi Bridge in?,clean
landmark_in_country__0166,landmark_in_country,factual,Dadese Bridge,What country is Dadese Bridge in?,What country is Dadese Bridge in?,clean
landmark_in_country__0167,landmark_in_country,factual,Ribusa Monument,What country is Ribusa Monument in?,What country is Ribusa Monument in?,clean
landmark_in_country__0168,landmark_in_country,factual,Dilaku Monument,What country is Dilaku Monument in?,What country is Dilaku Monument in?,clean
landmark_in_country__0169,landmark_in_country,factual,Dadosu Monument,What country is Dadosu Monument in?,What country is Dadosu Monument in?,clean
landmark_in_country__0170,landmark_in_country,factual,Losuro Monument,What country is Losuro Monument in?,What country is Losuro Monument in?,clean
landmark_in_country__0171,landmark_in_country,factual,Babusi Bridge,What country is Babusi Bridge in?,What country is Babusi Bridge in?,clean
landmark_in_country__0172,landmark_in_country,factual,Rubiro Park,What country is Rubiro Park in?,What country is Rubiro Park in?,clean
landmark_in_country__0173,landmark_in_country,factual,Riteko Park,What country is Riteko Park in?,What country is Riteko Park in?,clean
landmark_in_country__0174,landmark_in_country,factual,Tadoba Hall,What country is Tadoba Hall in?,What country is Tadoba Hall in?,clean
landmark_in_country__0175,landmark_in_country,factual,Selusu Bridge,What country is Selusu Bridge in?,What country is Selusu Bridge in?,clean
landmark_in_country__0176,landmark_in_country,factual,Dokasa Monument,What country is Dokasa Monument in?,What country is Dokasa Monument in?,clean
landmark_in_country__0177,landmark_in_country,factual,Ladoki Plaza,What country is Ladoki Plaza in?,What country is Ladoki Plaza in?,clean
landmark_in_country__0178,landmark_in_country,factual,Rurola Plaza,What country is Rurola Plaza in?,What country is Rurola Plaza in?,clean
landmark_in_country__0179,landmark_in_country,factual,Buralu Hall,What country is Buralu Hall in?,What country is Buralu Hall in?,clean
landmark_in_country__0180,landmark_in_country,factual,Kilolu Museum,What country is Kilolu Museum in?,What country is Kilolu Museum in?,clean
landmark_in_country__0181,landmark_in_country,factual,Rireba Museum,What country is Rireba Museum in?,What country is Rireba Museum in?,clean
landmark_in_country__0182,landmark_in_country,factual,Sasuli Bridge,What country is Sasuli Bridge in?,What country is Sasuli Bridge in?,clean
landmark_in_country__0183,landmark_in_country,factual,Rulola Monument,What country is Rulola Monument in?,What country is Rulola Monument in?,clean
landmark_in_country__0184,landmark_in_country,factual,Lesoke Tower,What country is Lesoke Tower in?,What country is Lesoke Tower in?,clean
landmark_in_country__0185,landmark_in_country,factual,Dalisi Tower,What country is Dalisi Tower in?,What country is Dalisi Tower in?,clean
landmark_in_country__0186,landmark_in_country,factual,Lokalu Hall,What country is Lokalu Hall in?,What country is Lokalu Hall in?,clean
landmark_in_country__0187,landmark_in_country,factual,Suruba Hall,What country is Suruba Hall in?,What country is Suruba Hall in?,clean
landmark_in_country__0188,landmark_in_country,factual,Dosaki Museum,What country is Dosaki Museum in?,What country is Dosaki Museum in?,clean
landmark_in_country__0189,landmark_in_country,factual,Sideke Plaza,What country is Sideke Plaza in?,What country is Sideke Plaza in?,clean
landmark_in_country__0190,landmark_in_country,factual,Ruroke Hall,What country is Ruroke Hall in?,What country is Ruroke Hall in?,clean
landmark_in_country__0191,landmark_in_country,factual,Rulela Plaza,What country is Rulela Plaza in?,What country is Rulela Plaza in?,clean
landmark_in_country__0192,landmark_in_country,factual,Bilere Plaza,What country is Bilere Plaza in?,What country is Bilere Plaza in?,clean
landmark_in_country__0193,landmark_in_country,factual,Sururo Tower,What country is Sururo Tower in?,What country is Sururo Tower in?,clean
landmark_in_country__0194,landmark_in_country,factual,Sukote Hall,What country is Sukote Hall in?,What country is Sukote Hall in?,clean
landmark_in_country__0195,landmark_in_country,factual,Ralibo Monument,What country is Ralibo Monument in?,What country is Ralibo Monument in?,clean
landmark_in_country__0196,landmark_in_country,factual,Dabasa Tower,What country is Dabasa Tower in?,What country is Dabasa Tower in?,clean
landmark_in_country__0197,landmark_in_country,factual,Desuki Tower,What country is Desuki Tower in?,What country is Desuki Tower in?,clean
landmark_in_country__0198,landmark_in_country,factual,Keleba Museum,What country is Keleba Museum in?,What country is Keleba Museum in?,clean
landmark_in_country__0199,landmark_in_country,factual,Ledelo Plaza,What country is Ledelo Plaza in?,What country is Ledelo Plaza in?,clean
landmark_on_continent__0000,landmark_on_continent,factual,Kilalu Museum,What continent is Kilalu Museum on?,What continent is Kilalu Museum on?,clean
landmark_on_continent__0001,landmark_on_continent,factual,Diroko Plaza,What continent is Diroko Plaza on?,What continent is Diroko Plaza on?,clean
landmark_on_continent__0002,landmark_on_continent,factual,Betata Bridge,What continent is Betata Bridge on?,What continent is Betata Bridge on?,clean
landmark_on_continent__0003,landmark_on_continent,factual,Debesu Monument,What continent is Debesu Monument on?,What continent is Debesu Monument on?,clean
landmark_on_continent__0004,landmark_on_continent,factual,Dodote Bridge,What continent is Dodote Bridge on?,What continent is Dodote Bridge on?,clean
landmark_on_continent__0005,landmark_on_continent,factual,Dusola Hall,What continent is Dusola Hall on?,What continent is Dusola Hall on?,clean
landmark_on_continent__0006,landmark_on_continent,factual,Sobila Museum,What continent is Sobila Museum on?,What continent is Sobila Museum on?,clean
landmark_on_continent__0007,landmark_on_continent,factual,Tarari Monument,What continent is Tarari Monument on?,What continent is Tarari Monument on?,clean
landmark_on_continent__0008,landmark_on_continent,factual,Burilu Museum,What continent is Burilu Museum on?,What continent is Burilu Museum on?,clean
landmark_on_continent__0009,landmark_on_continent,factual,Berete Hall,What continent is Berete Hall on?,What continent is Berete Hall on?,clean
landmark_on_continent__0010,landmark_on_continent,factual,Sosoka Park,What continent is Sosoka Park on?,What continent is Sosoka Park on?,clean
landmark_on_continent__0011,landmark_on_continent,factual,Laraki Plaza,What continent is Laraki Plaza on?,What continent is Laraki Plaza on?,clean
landmark_on_continent__0012,landmark_on_continent,factual,Deribu Park,What continent is Deribu Park on?,What continent is Deribu Park on?,clean
landmark_on_continent__0013,landmark_on_continent,factual,Kiloki Monument,What continent is Kiloki Monument on?,What continent is Kiloki Monument on?,clean
landmark_on_continent__0014,landmark_on_continent,factual,Darolo Museum,What continent is Darolo Museum on?,What continent is Darolo Museum on?,clean
landmark_on_continent__0015,landmark_on_continent,factual,Kirasu Museum,What continent is Kirasu Museum on?,What continent is Kirasu Museum on?,clean
landmark_on_continent__0016,landmark_on_continent,factual,Bolado Museum,What continent is Bolado Museum on?,What continent is Bolado Museum on?,clean
landmark_on_continent__0017,landmark_on_continent,factual,Kuduku Park,What continent is Kuduku Park on?,What continent is Kuduku Park on?,clean
landmark_on_continent__0018,landmark_on_continent,factual,Rarule Plaza,What continent is Rarule Plaza on?,What continent is Rarule Plaza on?,clean
landmark_on_continent__0019,landmark_on_continent,factual,Kiruro Plaza,What continent is Kiruro Plaza on?,What continent is Kiruro Plaza on?,clean
landmark_on_continent__0020,landmark_on_continent,factual,Taleri Bridge,What continent is Taleri Bridge on?,What continent is Taleri Bridge on?,clean
landmark_on_continent__0021,landmark_on_continent,factual,Latake Bridge,What continent is Latake Bridge on?,What continent is Latake Bridge on?,clean
landmark_on_continent__0022,landmark_on_continent,factual,Roruro Monument,What continent is Roruro Monument on?,What continent is Roruro Monument on?,clean
landmark_on_continent__0023,landmark_on_continent,factual,Bekesu Monument,What continent is Bekesu Monument on?,What continent is Bekesu Monument on?,clean
landmark_on_continent__0024,landmark_on_continent,factual,Buresa Monument,What continent is Buresa Monument on?,What continent is Buresa Monument on?,clean
landmark_on_continent__0025,landmark_on_continent,factual,Bobudo Monument,What continent is Bobudo Monument on?,What continent is Bobudo Monument on?,clean
landmark_on_continent__0026,landmark_on_continent,factual,Ledisa Bridge,What continent is Ledisa Bridge on?,What continent is Ledisa Bridge on?,clean
landmark_on_continent__0027,landmark_on_continent,factual,Surelu Hall,What continent is Surelu Hall on?,What continent is Surelu Hall on?,clean
landmark_on_continent__0028,landmark_on_continent,factual,Kukose Hall,What continent is Kukose Hall on?,What continent is Kukose Hall on?,clean
landmark_on_continent__0029,landmark_on_continent,factual,Sateki Tower,What continent is Sateki Tower on?,What continent is Sateki Tower on?,clean
landmark_on_continent__0030,landmark_on_continent,factual,Rikate Monument,What continent is Rikate Monument on?,What continent is Rikate Monument on?,clean
landmark_on_continent__0031,landmark_on_continent,factual,Ralede Bridge,What continent is Ralede Bridge on?,What continent is Ralede Bridge on?,clean
landmark_on_continent__0032,landmark_on_continent,factual,Rirori Hall,What continent is Rirori Hall on?,What continent is Rirori Hall on?,clean
landmark_on_continent__0033,landmark_on_continent,factual,Kateda Monument,What continent is Kateda Monument on?,What continent is Kateda Monument on?,clean
landmark_on_continent__0034,landmark_on_continent,factual,Rokiki Hall,What continent is Rokiki Hall on?,What continent is Rokiki Hall on?,clean
landmark_on_continent__0035,landmark_on_continent,factual,Taboko Hall,What continent is Taboko Hall on?,What continent is Taboko Hall on?,clean
landmark_on_continent__0036,landmark_on_continent,factual,Kosiki Bridge,What continent is Kosiki Bridge on?,What continent is Kosiki Bridge on?,clean
landmark_on_continent__0037,landmark_on_continent,factual,Karote Plaza,What continent is Karote Plaza on?,What continent is Karote Plaza on?,clean
landmark_on_continent__0038,landmark_on_continent,factual,Kisabe Tower,What continent is Kisabe Tower on?,What continent is Kisabe Tower on?,clean
landmark_on_continent__0039,landmark_on_continent,factual,Balire Museum,What continent is Balire Museum on?,What continent is Balire Museum on?,clean
landmark_on_continent__0040,landmark_on_continent,factual,Belata Museum,What continent is Belata Museum on?,What continent is Belata Museum on?,clean
landmark_on_continent__0041,landmark_on_continent,factual,Dudote Tower,What continent is Dudote Tower on?,What continent is Dudote Tower on?,clean
landmark_on_continent__0042,landmark_on_continent,factual,Dirodu Tower,What continent is Dirodu Tower on?,What continent is Dirodu Tower on?,clean
landmark_on_continent__0043,landmark_on_continent,factual,Kikiku Park,What continent is Kikiku Park on?,What continent is Kikiku Park on?,clean
landmark_on_continent__0044,landmark_on_continent,factual,Rarule Tower,What continent is Rarule Tower on?,What continent is Rarule Tower on?,clean
landmark_on_continent__0045,landmark_on_continent,factual,Subere Museum,What continent is Subere Museum on?,What continent is Subere Museum on?,clean
landmark_on_continent__0046,landmark_on_continent,factual,Losebe Park,What continent is Losebe Park on?,What continent is Losebe Park on?,clean
landmark_on_continent__0047,landmark_on_continent,factual,Sakisi Park,What continent is Sakisi Park on?,What continent is Sakisi Park on?,clean
landmark_on_continent__0048,landmark_on_continent,factual,Sirabe Monument,What continent is Sirabe Monument on?,What continent is Sirabe Monument on?,clean
landmark_on_continent__0049,landmark_on_continent,factual,Boredo Museum,What continent is Boredo Museum on?,What continent is Boredo Museum on?,clean
landmark_on_continent__0050,landmark_on_continent,factual,Desaru Park,What continent is Desaru Park on?,What continent is Desaru Park on?,clean
landmark_on_continent__0051,landmark_on_continent,factual,Dedese Hall,What continent is Dedese Hall on?,What continent is Dedese Hall on?,clean
landmark_on_continent__0052,landmark_on_continent,factual,Rabidu Museum,What continent is Rabidu Museum on?,What continent is Rabidu Museum on?,clean
landmark_on_continent__0053,landmark_on_continent,factual,Busete Plaza,What continent is Busete Plaza on?,What continent is Busete Plaza on?,clean
landmark_on_continent__0054,landmark_on_continent,factual,Relolo Hall,What continent is Relolo Hall on?,What continent is Relolo Hall on?,clean
landmark_on_continent__0055,landmark_on_continent,factual,Kababo Monument,What continent is Kababo Monument on?,What continent is Kababo Monument on?,clean
landmark_on_continent__0056,landmark_on_continent,factual,Korula Bridge,What continent is Korula Bridge on?,What continent is Korula Bridge on?,clean
landmark_on_continent__0057,landmark_on_continent,factual,Lutate Plaza,What continent is Lutate Plaza on?,What continent is Lutate Plaza on?,clean
landmark_on_continent__0058,landmark_on_continent,factual,Bokala Monument,What continent is Bokala Monument on?,What continent is Bokala Monument on?,clean
landmark_on_continent__0059,landmark_on_continent,factual,Sibuse Plaza,What continent is Sibuse Plaza on?,What continent is Sibuse Plaza on?,clean
landmark_on_continent__0060,landmark_on_continent,factual,Rilure Park,What continent is Rilure Park on?,What continent is Rilure Park on?,clean
landmark_on_continent__0061,landmark_on_continent,factual,Rodoke Tower,What continent is Rodoke Tower on?,What continent is Rodoke Tower on?,clean
landmark_on_continent__0062,landmark_on_continent,factual,Bosira Plaza,What continent is Bosira Plaza on?,What continent is Bosira Plaza on?,clean
landmark_on_continent__0063,landmark_on_continent,factual,Boludu Tower,What continent is Boludu Tower on?,What continent is Boludu Tower on?,clean
landmark_on_continent__0064,landmark_on_continent,factual,Rusude Bridge,What continent is Rusude Bridge on?,What continent is Rusude Bridge on?,clean
landmark_on_continent__0065,landmark_on_continent,factual,Babibu Tower,What continent is Babibu Tower on?,What continent is Babibu Tower on?,clean
landmark_on_continent__0066,landmark_on_continent,factual,Kodidu Plaza,What continent is Kodidu Plaza on?,What continent is Kodidu Plaza on?,clean
landmark_on_continent__0067,landmark_on_continent,factual,Lalaki Tower,What continent is Lalaki Tower on?,What continent is Lalaki Tower on?,clean
landmark_on_continent__0068,landmark_on_continent,factual,Liluru Park,What continent is Liluru Park on?,What continent is Liluru Park on?,clean
landmark_on_continent__0069,landmark_on_continent,factual,Sesisi Park,What continent is Sesisi Park on?,What continent is Sesisi Park on?,clean
landmark_on_continent__0070,landmark_on_continent,factual,Lasoku Tower,What continent is Lasoku Tower on?,What continent is Lasoku Tower on?,clean
landmark_on_continent__0071,landmark_on_continent,factual,Salusi Tower,What continent is Salusi Tower on?,What continent is Salusi Tower on?,clean
landmark_on_continent__0072,landmark_on_continent,factual,Sirala Monument,What continent is Sirala Monument on?,What continent is Sirala Monument on?,clean
landmark_on_continent__0073,landmark_on_continent,factual,Loreli Tower,What continent is Loreli Tower on?,What continent is Loreli Tower on?,clean
landmark_on_continent__0074,landmark_on_continent,factual,Bulabo Museum,What continent is Bulabo Museum on?,What continent is Bulabo Museum on?,clean
landmark_on_continent__0075,landmark_on_continent,factual,Losesi Plaza,What continent is Losesi Plaza on?,What continent is Losesi Plaza on?,clean
landmark_on_continent__0076,landmark_on_continent,factual,Sadaka Plaza,What continent is Sadaka Plaza on?,What continent is Sadaka Plaza on?,clean
landmark_on_continent__0077,landmark_on_continent,factual,Tekiru Park,What continent is Tekiru Park on?,What continent is Tekiru Park on?,clean
landmark_on_continent__0078,landmark_on_continent,factual,Delule Park,What continent is Delule Park on?,What continent is Delule Park on?,clean
landmark_on_continent__0079,landmark_on_continent,factual,Riloba Plaza,What continent is Riloba Plaza on?,What continent is Riloba Plaza on?,clean
landmark_on_continent__0080,landmark_on_continent,factual,Selore Hall,What continent is Selore Hall on?,What continent is Selore Hall on?,clean
landmark_on_continent__0081,landmark_on_continent,factual,Tasuri Plaza,What continent is Tasuri Plaza on?,What continent is Tasuri Plaza on?,clean
landmark_on_continent__0082,landmark_on_continent,factual,Lireka Monument,What continent is Lireka Monument on?,What continent is Lireka Monument on?,clean
landmark_on_continent__0083,landmark_on_continent,factual,Kidura Museum,What continent is Kidura Museum on?,What continent is Kidura Museum on?,clean
landmark_on_continent__0084,landmark_on_continent,factual,Takala Bridge,What continent is Takala Bridge on?,What continent is Takala Bridge on?,clean
landmark_on_continent__0085,landmark_on_continent,factual,Dekeki Tower,What continent is Dekeki Tower on?,What continent is Dekeki Tower on?,clean
landmark_on_continent__0086,landmark_on_continent,factual,Durodu Bridge,What continent is Durodu Bridge on?,What continent is Durodu Bridge on?,clean
landmark_on_continent__0087,landmark_on_continent,factual,Rulidu Park,What continent is Rulidu Park on?,What continent is Rulidu Park on?,clean
landmark_on_continent__0088,landmark_on_continent,factual,Budura Park,What continent is Budura Park on?,What continent is Budura Park on?,clean
landmark_on_continent__0089,landmark_on_continent,factual,Radedu Tower,What continent is Radedu Tower on?,What continent is Radedu Tower on?,clean
landmark_on_continent__0090,landmark_on_continent,factual,Ruduka Bridge,What continent is Ruduka Bridge on?,What continent is Ruduka Bridge on?,clean
landmark_on_continent__0091,landmark_on_continent,factual,Sodiru Museum,What continent is Sodiru Museum on?,What continent is Sodiru Museum on?,clean
landmark_on_continent__0092,landmark_on_continent,factual,Betebu Plaza,What continent is Betebu Plaza on?,What continent is Betebu Plaza on?,clean
landmark_on_continent__0093,landmark_on_continent,factual,Sibiku Hall,What continent is Sibiku Hall on?,What continent is Sibiku Hall on?,clean
landmark_on_continent__0094,landmark_on_continent,factual,Dikude Park,What continent is Dikude Park on?,What continent is Dikude Park on?,clean
landmark_on_continent__0095,landmark_on_continent,factual,Bodosu Tower,What continent is Bodosu Tower on?,What continent is Bodosu Tower on?,clean
landmark_on_continent__0096,landmark_on_continent,factual,Rubise Plaza,What continent is Rubise Plaza on?,What continent is Rubise Plaza on?,clean
landmark_on_continent__0097,landmark_on_continent,factual,Durosa Bridge,What continent is Durosa Bridge on?,What continent is Durosa Bridge on?,clean
landmark_on_continent__0098,landmark_on_continent,factual,Kebalo Bridge,What continent is Kebalo Bridge on?,What continent is Kebalo Bridge on?,clean
landmark_on_continent__0099,landmark_on_continent,factual,Buleke Park,What continent is Buleke Park on?,What continent is Buleke Park on?,clean
landmark_on_continent__0100,landmark_on_continent,factual,Tesiri Bridge,What continent is Tesiri Bridge on?,What continent is Tesiri Bridge on?,clean
landmark_on_continent__0101,landmark_on_continent,factual,Sikude Park,What continent is Sikude Park on?,What continent is Sikude Park on?,clean
landmark_on_continent__0102,landmark_on_continent,factual,Bulura Tower,What continent is Bulura Tower on?,What continent is Bulura Tower on?,clean
landmark_on_continent__0103,landmark_on_continent,factual,Sikeku Plaza,What continent is Sikeku Plaza on?,What continent is Sikeku Plaza on?,clean
landmark_on_continent__0104,landmark_on_continent,factual,Bosisa Tower,What continent is Bosisa Tower on?,What continent is Bosisa Tower on?,clean
landmark_on_continent__0105,landmark_on_continent,factual,Dekosu Tower,What continent is Dekosu Tower on?,What continent is Dekosu Tower on?,clean
landmark_on_continent__0106,landmark_on_continent,factual,Ludeli Hall,What continent is Ludeli Hall on?,What continent is Ludeli Hall on?,clean
landmark_on_continent__0107,landmark_on_continent,factual,Kibobo Park,What continent is Kibobo Park on?,What continent is Kibobo Park on?,clean
landmark_on_continent__0108,landmark_on_continent,factual,Kekiru Museum,What continent is Kekiru Museum on?,What continent is Kekiru Museum on?,clean
landmark_on_continent__0109,landmark_on_continent,factual,Bakisi Park,What continent is Bakisi Park on?,What continent is Bakisi Park on?,clean
landmark_on_continent__0110,landmark_on_continent,factual,Rateru Plaza,What continent is Rateru Plaza on?,What continent is Rateru Plaza on?,clean
landmark_on_continent__0111,landmark_on_continent,factual,Kebodo Bridge,What continent is Kebodo Bridge on?,What continent is Kebodo Bridge on?,clean
landmark_on_continent__0112,landmark_on_continent,factual,Kasake Museum,What continent is Kasake Museum on?,What continent is Kasake Museum on?,clean
landmark_on_continent__0113,landmark_on_continent,factual,Rukade Hall,What continent is Rukade Hall on?,What continent is Rukade Hall on?,clean
landmark_on_continent__0114,landmark_on_continent,factual,Sekera Hall,What continent is Sekera Hall on?,What continent is Sekera Hall on?,clean
landmark_on_continent__0115,landmark_on_continent,factual,Kiluka Plaza,What continent is Kiluka Plaza on?,What continent is Kiluka Plaza on?,clean
landmark_on_continent__0116,landmark_on_continent,factual,Sebise Hall,What continent is Sebise Hall on?,What continent is Sebise Hall on?,clean
landmark_on_continent__0117,landmark_on_continent,factual,Lakibi Museum,What continent is Lakibi Museum on?,What continent is Lakibi Museum on?,clean
landmark_on_continent__0118,landmark_on_continent,factual,Lokili Park,What continent is Lokili Park on?,What continent is Lokili Park on?,clean
landmark_on_continent__0119,landmark_on_continent,factual,Sesuta Plaza,What continent is Sesuta Plaza on?,What continent is Sesuta Plaza on?,clean
landmark_on_continent__0120,landmark_on_continent,factual,Leleda Bridge,What continent is Leleda Bridge on?,What continent is Leleda Bridge on?,clean
landmark_on_continent__0121,landmark_on_continent,factual,Radiri Museum,What continent is Radiri Museum on?,What continent is Radiri Museum on?,clean
landmark_on_continent__0122,landmark_on_continent,factual,Dosoki Plaza,What continent is Dosoki Plaza on?,What continent is Dosoki Plaza on?,clean
landmark_on_continent__0123,landmark_on_continent,factual,Batela Monument,What continent is Batela Monument on?,What continent is Batela Monument on?,clean
landmark_on_continent__0124,landmark_on_continent,factual,Sosise Plaza,What continent is Sosise Plaza on?,What continent is Sosise Plaza on?,clean
landmark_on_continent__0125,landmark_on_continent,factual,Litere Hall,What continent is Litere Hall on?,What continent is Litere Hall on?,clean
landmark_on_continent__0126,landmark_on_continent,factual,Didibe Park,What continent is Didibe Park on?,What continent is Didibe Park on?,clean
landmark_on_continent__0127,landmark_on_continent,factual,Buduke Hall,What continent is Buduke Hall on?,What continent is Buduke Hall on?,clean
landmark_on_continent__0128,landmark_on_continent,factual,Bileku Tower,What continent is Bileku Tower on?,What continent is Bileku Tower on?,clean
landmark_on_continent__0129,landmark_on_continent,factual,Kikidi Park,What continent is Kikidi Park on?,What continent is Kikidi Park on?,clean
landmark_on_continent__0130,landmark_on_continent,factual,Sadedo Park,What continent is Sadedo Park on?,What continent is Sadedo Park on?,clean
landmark_on_continent__0131,landmark_on_continent,factual,Sibela Park,What continent is Sibela Park on?,What continent is Sibela Park on?,clean
landmark_on_continent__0132,landmark_on_continent,factual,Kariru Museum,What continent is Kariru Museum on?,What continent is Kariru Museum on?,clean
landmark_on_continent__0133,landmark_on_continent,factual,Tasadu Bridge,What continent is Tasadu Bridge on?,What continent is Tasadu Bridge on?,clean
landmark_on_continent__0134,landmark_on_continent,factual,Dikuru Plaza,What continent is Dikuru Plaza on?,What continent is Dikuru Plaza on?,clean
landmark_on_continent__0135,landmark_on_continent,factual,Kukuri Tower,What continent is Kukuri Tower on?,What continent is Kukuri Tower on?,clean
landmark_on_continent__0136,landmark_on_continent,factual,Kidese Park,What continent is Kidese Park on?,What continent is Kidese Park on?,clean
landmark_on_continent__0137,landmark_on_continent,factual,Sukado Park,What continent is Sukado Park on?,What continent is Sukado Park on?,clean
landmark_on_continent__0138,landmark_on_continent,factual,Bebara Bridge,What continent is Bebara Bridge on?,What continent is Bebara Bridge on?,clean
landmark_on_continent__0139,landmark_on_continent,factual,Tabire Hall,What continent is Tabire Hall on?,What continent is Tabire Hall on?,clean
landmark_on_continent__0140,landmark_on_continent,factual,Lidite Park,What continent is Lidite Park on?,What continent is Lidite Park on?,clean
landmark_on_continent__0141,landmark_on_continent,factual,Teburo Tower,What continent is Teburo Tower on?,What continent is Teburo Tower on?,clean
landmark_on_continent__0142,landmark_on_continent,factual,Ladelo Park,What continent is Ladelo Park on?,What continent is Ladelo Park on?,clean
landmark_on_continent__0143,landmark_on_continent,factual,Bobabo Museum,What continent is Bobabo Museum on?,What continent is Bobabo Museum on?,clean
landmark_on_continent__0144,landmark_on_continent,factual,Kerebo Plaza,What continent is Kerebo Plaza on?,What continent is Kerebo Plaza on?,clean
landmark_on_continent__0145,landmark_on_continent,factual,Bobeda Hall,What continent is Bobeda Hall on?,What continent is Bobeda Hall on?,clean
landmark_on_continent__0146,landmark_on_continent,factual,Lesisu Tower,What continent is Lesisu Tower on?,What continent is Lesisu Tower on?,clean
landmark_on_continent__0147,landmark_on_continent,factual,Saduka Monument,What continent is Saduka Monument on?,What continent is Saduka Monument on?,clean
landmark_on_continent__0148,landmark_on_continent,factual,Lilide Plaza,What continent is Lilide Plaza on?,What continent is Lilide Plaza on?,clean
landmark_on_continent__0149,landmark_on_continent,factual,Rubeba Museum,What continent is Rubeba Museum on?,What continent is Rubeba Museum on?,clean
landmark_on_continent__0150,landmark_on_continent,factual,Retesi Bridge,What continent is Retesi Bridge on?,What continent is Retesi Bridge on?,clean
landmark_on_continent__0151,landmark_on_continent,factual,Resote Tower,What continent is Resote Tower on?,What continent is Resote Tower on?,clean
