example_id,relation_key,relation_group,subject,template,prompt,verdict,exact_hits,best_source,best_candidate,best_score,best_desc
company_hq__0160,company_hq,factual,Ledido Corp,Where are the headquarters of {}?,Where are the headquarters of Ledido Corp?,clean,,,,0.0,
company_hq__0161,company_hq,factual,Dibeke Partners,Where are the headquarters of {}?,Where are the headquarters of Dibeke Partners?,clean,,,,0.0,
company_hq__0162,company_hq,factual,Silole Technologies,Where are the headquarters of {}?,Where are the headquarters of Silole Technologies?,clean,,,,0.0,
company_hq__0163,company_hq,factual,Selala Corp,Where are the headquarters of {}?,Where are the headquarters of Selala Corp?,clean,,,,0.0,
company_hq__0164,company_hq,factual,Rirasu Corp,Where are the headquarters of {}?,Where are the headquarters of Rirasu Corp?,clean,,,,0.0,
company_hq__0165,company_hq,factual,Dabute Partners,Where are the headquarters of {}?,Where are the headquarters of Dabute Partners?,clean,,,,0.0,
company_hq__0166,company_hq,factual,Dalebi Group,Where are the headquarters of {}?,Where are the headquarters of Dalebi Group?,clean,,,,0.0,
company_hq__0167,company_hq,factual,Sirolo Partners,Where are the headquarters of {}?,Where are the headquarters of Sirolo Partners?,clean,,,,0.0,
company_hq__0168,company_hq,factual,Lakate Corp,Where are the headquarters of {}?,Where are the headquarters of Lakate Corp?,clean,,,,0.0,
company_hq__0169,company_hq,factual,Rabuse Group,Where are the headquarters of {}?,Where are the headquarters of Rabuse Group?,clean,,,,0.0,
company_hq__0170,company_hq,factual,Butari Technologies,Where are the headquarters of {}?,Where are the headquarters of Butari Technologies?,clean,,,,0.0,
company_hq__0171,company_hq,factual,Taleso Corp,Where are the headquarters of {}?,Where are the headquarters of Taleso Corp?,clean,,,,0.0,
company_hq__0172,company_hq,factual,Telaba Group,Where are the headquarters of {}?,Where are the headquarters of Telaba Group?,clean,,,,0.0,
company_hq__0173,company_hq,factual,Lisedo Group,Where are the headquarters of {}?,Where are the headquarters of Lisedo Group?,clean,,,,0.0,
company_hq__0174,company_hq,factual,Doliku Holdings,Where are the headquarters of {}?,Where are the headquarters of Doliku Holdings?,clean,,,,0.0,
company_hq__0175,company_hq,factual,Lasiso Technologies,Where are the headquarters of {}?,Where are the headquarters of Lasiso Technologies?,clean,,,,0.0,
company_hq__0176,company_hq,factual,Kulosu Systems,Where are the headquarters of {}?,Where are the headquarters of Kulosu Systems?,clean,,,,0.0,
company_hq__0177,company_hq,factual,Sikuri Labs,Where are the headquarters of {}?,Where are the headquarters of Sikuri Labs?,clean,,,,0.0,
company_hq__0178,company_hq,factual,Dasera Labs,Where are the headquarters of {}?,Where are the headquarters of Dasera Labs?,clean,,,,0.0,
company_hq__0179,company_hq,factual,Bakoso Holdings,Where are the headquarters of {}?,Where are the headquarters of Bakoso Holdings?,clean,,,,0.0,
company_hq__0180,company_hq,factual,Dilete Partners,Where are the headquarters of {}?,Where are the headquarters of Dilete Partners?,clean,,,,0.0,
company_hq__0181,company_hq,factual,Serika Corp,Where are the headquarters of {}?,Where are the headquarters of Serika Corp?,clean,,,,0.0,
company_hq__0182,company_hq,factual,Sosudo Corp,Where are the headquarters of {}?,Where are the headquarters of Sosudo Corp?,clean,,,,0.0,
company_hq__0183,company_hq,factual,Basaka Labs,Where are the headquarters of {}?,Where are the headquarters of Basaka Labs?,clean,,,,0.0,wiki_error::RetryError
company_hq__0184,company_hq,factual,Lerira Corp,Where are the headquarters of {}?,Where are the headquarters of Lerira Corp?,clean,,,,0.0,
company_hq__0185,company_hq,factual,Besila Holdings,Where are the headquarters of {}?,Where are the headquarters of Besila Holdings?,clean,,,,0.0,
company_hq__0186,company_hq,factual,Keleli Partners,Where are the headquarters of {}?,Where are the headquarters of Keleli Partners?,clean,,,,0.0,
company_hq__0187,company_hq,factual,Kalaki Technologies,Where are the headquarters of {}?,Where are the headquarters of Kalaki Technologies?,clean,,,,0.0,
company_hq__0188,company_hq,factual,Keluta Holdings,Where are the headquarters of {}?,Where are the headquarters of Keluta Holdings?,clean,,,,0.0,
company_hq__0189,company_hq,factual,Robiko Technologies,Where are the headquarters of {}?,Where are the headquarters of Robiko Technologies?,clean,,,,0.0,
company_hq__0190,company_hq,factual,Tedoro Corp,Where are the headquarters of {}?,Where are the headquarters of Tedoro Corp?,clean,,,,0.0,
company_hq__0191,company_hq,factual,Likire Group,Where are the headquarters of {}?,Where are the headquarters of Likire Group?,clean,,,,0.0,
company_hq__0192,company_hq,factual,Keboro Corp,Where are the headquarters of {}?,Where are the headquarters of Keboro Corp?,clean,,,,0.0,
company_hq__0193,company_hq,factual,Ledeku Group,Where are the headquarters of {}?,Where are the headquarters of Ledeku Group?,clean,,,,0.0,
company_hq__0194,company_hq,factual,Sisulo Group,Where are the headquarters of {}?,Where are the headquarters of Sisulo Group?,clean,,,,0.0,
company_hq__0195,company_hq,factual,Desala Holdings,Where are the headquarters of {}?,Where are the headquarters of Desala Holdings?,clean,,,,0.0,
company_hq__0196,company_hq,factual,Tederu Technologies,Where are the headquarters of {}?,Where are the headquarters of Tederu Technologies?,clean,,,,0.0,
company_hq__0197,company_hq,factual,Kaluka Technologies,Where are the headquarters of {}?,Where are the headquarters of Kaluka Technologies?,clean,,,,0.0,
company_hq__0198,company_hq,factual,Biludu Technologies,Where are the headquarters of {}?,Where are the headquarters of Biludu Technologies?,clean,,,,0.0,
company_hq__0199,company_hq,factual,Riribu Partners,Where are the headquarters of {}?,Where are the headquarters of Riribu Partners?,clean,,,,0.0,
landmark_in_country__0000,landmark_in_country,factual,Boruta Museum,What country is {} in?,What country is Boruta Museum in?,clean,,,,0.0,
landmark_in_country__0001,landmark_in_country,factual,Rutado Park,What country is {} in?,What country is Rutado Park in?,clean,,,,0.0,
landmark_in_country__0002,landmark_in_country,factual,Keladi Monument,What country is {} in?,What country is Keladi Monument in?,clean,,,,0.0,
landmark_in_country__0003,landmark_in_country,factual,Kisose Park,What country is {} in?,What country is Kisose Park in?,clean,,,,0.0,
landmark_in_country__0004,landmark_in_country,factual,Tabudu Tower,What country is {} in?,What country is Tabudu Tower in?,clean,,,,0.0,
landmark_in_country__0005,landmark_in_country,factual,Rilulo Monument,What country is {} in?,What country is Rilulo Monument in?,clean,,,,0.0,
landmark_in_country__0006,landmark_in_country,factual,Tedoso Hall,What country is {} in?,What country is Tedoso Hall in?,clean,,,,0.0,
landmark_in_country__0007,landmark_in_country,factual,Dideri Park,What country is {} in?,What country is Dideri Park in?,clean,,,,0.0,
landmark_in_country__0008,landmark_in_country,factual,Ralolo Museum,What country is {} in?,What country is Ralolo Museum in?,clean,,,,0.0,
landmark_in_country__0009,landmark_in_country,factual,Bosudu Park,What country is {} in?,What country is Bosudu Park in?,clean,,,,0.0,
landmark_in_country__0010,landmark_in_country,factual,Rodete Hall,What country is {} in?,What country is Rodete Hall in?,clean,,,,0.0,
landmark_in_country__0011,landmark_in_country,factual,Daloke Museum,What country is {} in?,What country is Daloke Museum in?,clean,,,,0.0,
landmark_in_country__0012,landmark_in_country,factual,Rudeko Bridge,What country is {} in?,What country is Rudeko Bridge in?,clean,,,,0.0,
landmark_in_country__0013,landmark_in_country,factual,Butete Plaza,What country is {} in?,What country is Butete Plaza in?,clean,,,,0.0,
landmark_in_country__0014,landmark_in_country,factual,Sulaso Hall,What country is {} in?,What country is Sulaso Hall in?,clean,,,,0.0,
landmark_in_country__0015,landmark_in_country,factual,Kuruda Tower,What country is {} in?,What country is Kuruda Tower in?,clean,,,,0.0,
landmark_in_country__0016,landmark_in_country,factual,Rasala Museum,What country is {} in?,What country is Rasala Museum in?,clean,,,,0.0,
landmark_in_country__0017,landmark_in_country,factual,Rutabo Monument,What country is {} in?,What country is Rutabo Monument in?,clean,,,,0.0,
landmark_in_country__0018,landmark_in_country,factual,Resebo Park,What country is {} in?,What country is Resebo Park in?,clean,,,,0.0,
landmark_in_country__0019,landmark_in_country,factual,Raredi Monument,What country is {} in?,What country is Raredi Monument in?,clean,,,,0.0,
landmark_in_country__0020,landmark_in_country,factual,Rudusi Bridge,What country is {} in?,What country is Rudusi Bridge in?,clean,,,,0.0,
landmark_in_country__0021,landmark_in_country,factual,Taburu Hall,What country is {} in?,What country is Taburu Hall in?,clean,,,,0.0,
landmark_in_country__0022,landmark_in_country,factual,Riloli Plaza,What country is {} in?,What country is Riloli Plaza in?,clean,,,,0.0,
landmark_in_country__0023,landmark_in_country,factual,Borelo Museum,What country is {} in?,What country is Borelo Museum in?,clean,,,,0.0,
landmark_in_country__0024,landmark_in_country,factual,Ratale Tower,What country is {} in?,What country is Ratale Tower in?,clean,,,,0.0,
landmark_in_country__0025,landmark_in_country,factual,Kulubu Plaza,What country is {} in?,What country is Kulubu Plaza in?,clean,,,,0.0,
landmark_in_country__0026,landmark_in_country,factual,Sokide Park,What country is {} in?,What country is Sokide Park in?,clean,,,,0.0,
landmark_in_country__0027,landmark_in_country,factual,Sokali Tower,What country is {} in?,What country is Sokali Tower in?,clean,,,,0.0,
landmark_in_country__0028,landmark_in_country,factual,Dikuke Tower,What country is {} in?,What country is Dikuke Tower in?,clean,,,,0.0,
landmark_in_country__0029,landmark_in_country,factual,Raredi Monument,What country is {} in?,What country is Raredi Monument in?,clean,,,,0.0,
landmark_in_country__0030,landmark_in_country,factual,Kodosu Monument,What country is {} in?,What country is Kodosu Monument in?,clean,,,,0.0,
landmark_in_country__0031,landmark_in_country,factual,Libolo Hall,What country is {} in?,What country is Libolo Hall in?,clean,,,,0.0,
landmark_in_country__0032,landmark_in_country,factual,Lokubu Bridge,What country is {} in?,What country is Lokubu Bridge in?,clean,,,,0.0,
landmark_in_country__0033,landmark_in_country,factual,Bureke Tower,What country is {} in?,What country is Bureke Tower in?,clean,,,,0.0,
landmark_in_country__0034,landmark_in_country,factual,Lesalo Tower,What country is {} in?,What country is Lesalo Tower in?,clean,,,,0.0,
landmark_in_country__0035,landmark_in_country,factual,Tasuda Tower,What country is {} in?,What country is Tasuda Tower in?,clean,,,,0.0,
landmark_in_country__0036,landmark_in_country,factual,Rukese Monument,What country is {} in?,What country is Rukese Monument in?,clean,,,,0.0,
landmark_in_country__0037,landmark_in_country,factual,Takoku Tower,What country is {} in?,What country is Takoku Tower in?,clean,,,,0.0,
landmark_in_country__0038,landmark_in_country,factual,Dasoso Bridge,What country is {} in?,What country is Dasoso Bridge in?,clean,,,,0.0,
landmark_in_country__0039,landmark_in_country,factual,Robiba Park,What country is {} in?,What country is Robiba Park in?,clean,,,,0.0,
landmark_in_country__0040,landmark_in_country,factual,Sulire Monument,What country is {} in?,What country is Sulire Monument in?,clean,,,,0.0,
landmark_in_country__0041,landmark_in_country,factual,Kelori Monument,What country is {} in?,What country is Kelori Monument in?,clean,,,,0.0,
landmark_in_country__0042,landmark_in_country,factual,Kabore Plaza,What country is {} in?,What country is Kabore Plaza in?,clean,,,,0.0,
landmark_in_country__0043,landmark_in_country,factual,Soberu Bridge,What country is {} in?,What country is Soberu Bridge in?,clean,,,,0.0,
landmark_in_country__0044,landmark_in_country,factual,Kasake Hall,What country is {} in?,What country is Kasake Hall in?,clean,,,,0.0,
landmark_in_country__0045,landmark_in_country,factual,Soduri Museum,What country is {} in?,What country is Soduri Museum in?,clean,,,,0.0,
landmark_in_country__0046,landmark_in_country,factual,Kekadi Plaza,What country is {} in?,What country is Kekadi Plaza in?,clean,,,,0.0,
landmark_in_country__0047,landmark_in_country,factual,Kuteku Tower,What country is {} in?,What country is Kuteku Tower in?,clean,,,,0.0,
landmark_in_country__0048,landmark_in_country,factual,Tasiru Bridge,What country is {} in?,What country is Tasiru Bridge in?,clean,,,,0.0,
landmark_in_country__0049,landmark_in_country,factual,Bisiku Tower,What country is {} in?,What country is Bisiku Tower in?,clean,,,,0.0,
landmark_in_country__0050,landmark_in_country,factual,Dolila Museum,What country is {} in?,What country is Dolila Museum in?,clean,,,,0.0,
landmark_in_country__0051,landmark_in_country,factual,Resadi Park,What country is {} in?,What country is Resadi Park in?,clean,,,,0.0,
landmark_in_country__0052,landmark_in_country,factual,Robulo Monument,What country is {} in?,What country is Robulo Monument in?,clean,,,,0.0,
landmark_in_country__0053,landmark_in_country,factual,Rusuda Bridge,What country is {} in?,What country is Rusuda Bridge in?,clean,,,,0.0,
landmark_in_country__0054,landmark_in_country,factual,Roresu Park,What country is {} in?,What country is Roresu Park in?,clean,,,,0.0,
landmark_in_country__0055,landmark_in_country,factual,Sidalo Hall,What country is {} in?,What country is Sidalo Hall in?,clean,,,,0.0,
landmark_in_country__0056,landmark_in_country,factual,Rideda Bridge,What country is {} in?,What country is Rideda Bridge in?,clean,,,,0.0,
landmark_in_country__0057,landmark_in_country,factual,Sesila Park,What country is {} in?,What country is Sesila Park in?,clean,,,,0.0,
landmark_in_country__0058,landmark_in_country,factual,Burilu Hall,What country is {} in?,What country is Burilu Hall in?,clean,,,,0.0,
landmark_in_country__0059,landmark_in_country,factual,Busise Plaza,What country is {} in?,What country is Busise Plaza in?,clean,,,,0.0,
landmark_in_country__0060,landmark_in_country,factual,Laruro Monument,What country is {} in?,What country is Laruro Monument in?,clean,,,,0.0,
landmark_in_country__0061,landmark_in_country,factual,Debili Monument,What country is {} in?,What country is Debili Monument in?,clean,,,,0.0,
landmark_in_country__0062,landmark_in_country,factual,Dareta Bridge,What country is {} in?,What country is Dareta Bridge in?,clean,,,,0.0,
landmark_in_country__0063,landmark_in_country,factual,Dabura Park,What country is {} in?,What country is Dabura Park in?,clean,,,,0.0,
landmark_in_country__0064,landmark_in_country,factual,Biboro Plaza,What country is {} in?,What country is Biboro Plaza in?,clean,,,,0.0,
landmark_in_country__0065,landmark_in_country,factual,Kitaru Hall,What country is {} in?,What country is Kitaru Hall in?,clean,,,,0.0,
landmark_in_country__0066,landmark_in_country,factual,Ririlo Plaza,What country is {} in?,What country is Ririlo Plaza in?,clean,,,,0.0,
landmark_in_country__0067,landmark_in_country,factual,Rasode Tower,What country is {} in?,What country is Rasode Tower in?,clean,,,,0.0,
landmark_in_country__0068,landmark_in_country,factual,Tatado Hall,What country is {} in?,What country is Tatado Hall in?,clean,,,,0.0,
landmark_in_country__0069,landmark_in_country,factual,Litaba Plaza,What country is {} in?,What country is Litaba Plaza in?,clean,,,,0.0,
landmark_in_country__0070,landmark_in_country,factual,Solelo Hall,What country is {} in?,What country is Solelo Hall in?,clean,,,,0.0,
landmark_in_country__0071,landmark_in_country,factual,Selaka Hall,What country is {} in?,What country is Selaka Hall in?,clean,,,,0.0,
landmark_in_country__0072,landmark_in_country,factual,Libuta Park,What country is {} in?,What country is Libuta Park in?,clean,,,,0.0,
landmark_in_country__0073,landmark_in_country,factual,Rolele Plaza,What country is {} in?,What country is Rolele Plaza in?,clean,,,,0.0,
landmark_in_country__0074,landmark_in_country,factual,Selori Monument,What country is {} in?,What country is Selori Monument in?,clean,,,,0.0,
landmark_in_country__0075,landmark_in_country,factual,Lekari Park,What country is {} in?,What country is Lekari Park in?,clean,,,,0.0,
landmark_in_country__0076,landmark_in_country,factual,Rerasu Park,What country is {} in?,What country is Rerasu Park in?,clean,,,,0.0,
landmark_in_country__0077,landmark_in_country,factual,Risoda Park,What country is {} in?,What country is Risoda Park in?,clean,,,,0.0,
landmark_in_country__0078,landmark_in_country,factual,Sakela Hall,What country is {} in?,What country is Sakela Hall in?,clean,,,,0.0,
landmark_in_country__0079,landmark_in_country,factual,Dokaka Museum,What country is {} in?,What country is Dokaka Museum in?,clean,,,,0.0,
landmark_in_country__0080,landmark_in_country,factual,Dusuki Park,What country is {} in?,What country is Dusuki Park in?,clean,,,,0.0,
landmark_in_country__0081,landmark_in_country,factual,Kisese Monument,What country is {} in?,What country is Kisese Monument in?,clean,,,,0.0,
landmark_in_country__0082,landmark_in_country,factual,Lobebi Plaza,What country is {} in?,What country is Lobebi Plaza in?,clean,,,,0.0,
landmark_in_country__0083,landmark_in_country,factual,Tabiso Hall,What country is {} in?,What country is Tabiso Hall in?,clean,,,,0.0,
landmark_in_country__0084,landmark_in_country,factual,Lukadu Bridge,What country is {} in?,What country is Lukadu Bridge in?,clean,,,,0.0,
landmark_in_country__0085,landmark_in_country,factual,Bisade Tower,What country is {} in?,What country is Bisade Tower in?,clean,,,,0.0,wikidata_error::RetryError
landmark_in_country__0086,landmark_in_country,factual,Bolisa Hall,What country is {} in?,What country is Bolisa Hall in?,clean,,,,0.0,
landmark_in_country__0087,landmark_in_country,factual,Bekalo Monument,What country is {} in?,What country is Bekalo Monument in?,clean,,,,0.0,
landmark_in_country__0088,landmark_in_country,factual,Diroko Monument,What country is {} in?,What country is Diroko Monument in?,clean,,,,0.0,
landmark_in_country__0089,landmark_in_country,factual,Susade Monument,What country is {} in?,What country is Susade Monument in?,clean,,,,0.0,
landmark_in_country__0090,landmark_in_country,factual,Badisu Plaza,What country is {} in?,What country is Badisu Plaza in?,clean,,,,0.0,
landmark_in_country__0091,landmark_in_country,factual,Loseko Tower,What country is {} in?,What country is Loseko Tower in?,clean,,,,0.0,
landmark_in_country__0092,landmark_in_country,factual,Bulesa Monument,What country is {} in?,What country is Bulesa Monument in?,clean,,,,0.0,
landmark_in_country__0093,landmark_in_country,factual,Lilelu Monument,What country is {} in?,What country is Lilelu Monument in?,clean,,,,0.0,
landmark_in_country__0094,landmark_in_country,factual,Tesuse Plaza,What country is {} in?,What country is Tesuse Plaza in?,clean,,,,0.0,
landmark_in_country__0095,landmark_in_country,factual,Kuseru Hall,What country is {} in?,What country is Kuseru Hall in?,clean,,,,0.0,
landmark_in_country__0096,landmark_in_country,factual,Ralaka Park,What country is {} in?,What country is Ralaka Park in?,clean,,,,0.0,
landmark_in_country__0097,landmark_in_country,factual,Ribudi Hall,What country is {} in?,What country is Ribudi Hall in?,clean,,,,0.0,
landmark_in_country__0098,landmark_in_country,factual,Sasoki Tower,What country is {} in?,What country is Sasoki Tower in?,clean,,,,0.0,
landmark_in_country__0099,landmark_in_country,factual,Dikiru Bridge,What country is {} in?,What country is Dikiru Bridge in?,clean,,,,0.0,
landmark_in_country__0100,landmark_in_country,factual,Loduru Hall,What country is {} in?,What country is Loduru Hall in?,clean,,,,0.0,
landmark_in_country__0101,landmark_in_country,factual,Reruku Hall,What country is {} in?,What country is Reruku Hall in?,clean,,,,0.0,
landmark_in_country__0102,landmark_in_country,factual,Badura Park,What country is {} in?,What country is Badura Park in?,clean,,,,0.0,
landmark_in_country__0103,landmark_in_country,factual,Kadote Bridge,What country is {} in?,What country is Kadote Bridge in?,clean,,,,0.0,
landmark_in_country__0104,landmark_in_country,factual,Raduka Hall,What country is {} in?,What country is Raduka Hall in?,clean,,,,0.0,
landmark_in_country__0105,landmark_in_country,factual,Daruru Plaza,What country is {} in?,What country is Daruru Plaza in?,clean,,,,0.0,
landmark_in_country__0106,landmark_in_country,factual,Kodedu Park,What country is {} in?,What country is Kodedu Park in?,clean,,,,0.0,
landmark_in_country__0107,landmark_in_country,factual,Tebero Hall,What country is {} in?,What country is Tebero Hall in?,clean,,,,0.0,
landmark_in_country__0108,landmark_in_country,factual,Kedaku Hall,What country is {} in?,What country is Kedaku Hall in?,clean,,,,0.0,
landmark_in_country__0109,landmark_in_country,factual,Bukalo Park,What country is {} in?,What country is Bukalo Park in?,clean,,,,0.0,
landmark_in_country__0110,landmark_in_country,factual,Bokede Hall,What country is {} in?,What country is Bokede Hall in?,clean,,,,0.0,wikidata_error::RetryError
landmark_in_country__0111,landmark_in_country,factual,Sobude Plaza,What country is {} in?,What country is Sobude Plaza in?,clean,,,,0.0,
landmark_in_country__0112,landmark_in_country,factual,Bilisu Park,What country is {} in?,What country is Bilisu Park in?,clean,,,,0.0,
landmark_in_country__0113,landmark_in_country,factual,Telire Tower,What country is {} in?,What country is Telire Tower in?,clean,,,,0.0,
landmark_in_country__0114,landmark_in_country,factual,Relode Park,What country is {} in?,What country is Relode Park in?,clean,,,,0.0,
landmark_in_country__0115,landmark_in_country,factual,Dukara Plaza,What country is {} in?,What country is Dukara Plaza in?,clean,,,,0.0,
landmark_in_country__0116,landmark_in_country,factual,Lurobe Park,What country is {} in?,What country is Lurobe Park in?,clean,,,,0.0,
landmark_in_country__0117,landmark_in_country,factual,Tarodo Bridge,What country is {} in?,What country is Tarodo Bridge in?,clean,,,,0.0,
landmark_in_country__0118,landmark_in_country,factual,Bikesa Museum,What country is {} in?,What country is Bikesa Museum in?,clean,,,,0.0,
landmark_in_country__0119,landmark_in_country,factual,Ledasi Plaza,What country is {} in?,What country is Ledasi Plaza in?,clean,,,,0.0,
landmark_in_country__0120,landmark_in_country,factual,Rirido Bridge,What country is {} in?,What country is Rirido Bridge in?,clean,,,,0.0,
landmark_in_country__0121,landmark_in_country,factual,Dibari Museum,What country is {} in?,What country is Dibari Museum in?,clean,,,,0.0,
landmark_in_country__0122,landmark_in_country,factual,Lulola Hall,What country is {} in?,What country is Lulola Hall in?,clean,,,,0.0,
landmark_in_country__0123,landmark_in_country,factual,Dararu Museum,What country is {} in?,What country is Dararu Museum in?,clean,,,,0.0,
landmark_in_country__0124,landmark_in_country,factual,Teridu Museum,What country is {} in?,What country is Teridu Museum in?,clean,,,,0.0,
landmark_in_country__0125,landmark_in_country,factual,Bideli Tower,What country is {} in?,What country is Bideli Tower in?,clean,,,,0.0,
landmark_in_country__0126,landmark_in_country,factual,Selibe Tower,What country is {} in?,What country is Selibe Tower in?,clean,,,,0.0,
landmark_in_country__0127,landmark_in_country,factual,Lubibu Tower,What country is {} in?,What country is Lubibu Tower in?,clean,,,,0.0,
landmark_in_country__0128,landmark_in_country,factual,Teluso Park,What country is {} in?,What country is Teluso Park in?,clean,,,,0.0,
landmark_in_country__0129,landmark_in_country,factual,Roduka Bridge,What country is {} in?,What country is Roduka Bridge in?,clean,,,,0.0,
landmark_in_country__0130,landmark_in_country,factual,Ridulo Hall,What country is {} in?,What country is Ridulo Hall in?,clean,,,,0.0,
landmark_in_country__0131,landmark_in_country,factual,Kikoso Monument,What country is {} in?,What country is Kikoso Monument in?,clean,,,,0.0,
landmark_in_country__0132,landmark_in_country,factual,Ludose Tower,What country is {} in?,What country is Ludose Tower in?,clean,,,,0.0,
landmark_in_country__0133,landmark_in_country,factual,Keriba Hall,What country is {} in?,What country is Keriba Hall in?,clean,,,,0.0,
landmark_in_country__0134,landmark_in_country,factual,Talure Bridge,What country is {} in?,What country is Talure Bridge in?,clean,,,,0.0,
landmark_in_country__0135,landmark_in_country,factual,Ritedi Plaza,What country is {} in?,What country is Ritedi Plaza in?,clean,,,,0.0,
landmark_in_country__0136,landmark_in_country,factual,Ladala Park,What country is {} in?,What country is Ladala Park in?,clean,,,,0.0,
landmark_in_country__0137,landmark_in_country,factual,Kokala Plaza,What country is {} in?,What country is Kokala Plaza in?,clean,,,,0.0,
landmark_in_country__0138,landmark_in_country,factual,Lobasi Monument,What country is {} in?,What country is Lobasi Monument in?,clean,,,,0.0,
landmark_in_country__0139,landmark_in_country,factual,Birede Monument,What country is {} in?,What country is Birede Monument in?,clean,,,,0.0,
landmark_in_country__0140,landmark_in_country,factual,Karasa Tower,What country is {} in?,What country is Karasa Tower in?,clean,,,,0.0,
landmark_in_country__0141,landmark_in_country,factual,Katere Monument,What country is {} in?,What country is Katere Monument in?,clean,,,,0.0,
landmark_in_country__0142,landmark_in_country,factual,Libesi Park,What country is {} in?,What country is Libesi Park in?,clean,,,,0.0,
landmark_in_country__0143,landmark_in_country,factual,Sikasa Monument,What country is {} in?,What country is Sikasa Monument in?,clean,,,,0.0,
landmark_in_country__0144,landmark_in_country,factual,Karude Park,What country is {} in?,What country is Karude Park in?,clean,,,,0.0,
landmark_in_country__0145,landmark_in_country,factual,Sekeko Park,What country is {} in?,What country is Sekeko Park in?,clean,,,,0.0,
landmark_in_country__0146,landmark_in_country,factual,Lokite Monument,What country is {} in?,What country is Lokite Monument in?,clean,,,,0.0,
landmark_in_country__0147,landmark_in_country,factual,Bekosa Museum,What country is {} in?,What country is Bekosa Museum in?,clean,,,,0.0,
landmark_in_country__0148,landmark_in_country,factual,Sekodo Bridge,What country is {} in?,What country is Sekodo Bridge in?,clean,,,,0.0,
landmark_in_country__0149,landmark_in_country,factual,Kosose Park,What country is {} in?,What country is Kosose Park in?,clean,,,,0.0,
landmark_in_country__0150,landmark_in_country,factual,Rarubu Museum,What country is {} in?,What country is Rarubu Museum in?,clean,,,,0.0,
landmark_in_country__0151,landmark_in_country,factual,Bukolo Tower,What country is {} in?,What country is Bukolo Tower in?,clean,,,,0.0,
landmark_in_country__0152,landmark_in_country,factual,Resiro Hall,What country is {} in?,What country is Resiro Hall in?,clean,,,,0.0,
landmark_in_country__0153,landmark_in_country,factual,Lireba Monument,What country is {} in?,What country is Lireba Monument in?,clean,,,,0.0,
landmark_in_country__0154,landmark_in_country,factual,Kadusi Monument,What country is {} in?,What country is Kadusi Monument in?,clean,,,,0.0,
landmark_in_country__0155,landmark_in_country,factual,Sosike Monument,What country is {} in?,What country is Sosike Monument in?,clean,,,,0.0,
landmark_in_country__0156,landmark_in_country,factual,Kikaro Plaza,What country is {} in?,What country is Kikaro Plaza in?,clean,,,,0.0,
landmark_in_country__0157,landmark_in_country,factual,Lodolo Plaza,What country is {} in?,What country is Lodolo Plaza in?,clean,,,,0.0,
landmark_in_country__0158,landmark_in_country,factual,Redudi Museum,What country is {} in?,What country is Redudi Museum in?,clean,,,,0.0,
landmark_in_country__0159,landmark_in_country,factual,Lokiru Bridge,What country is {} in?,What country is Lokiru Bridge in?,clean,,,,0.0,
landmark_in_country__0160,landmark_in_country,factual,Babedi Park,What country is {} in?,What country is Babedi Park in?,clean,,,,0.0,
landmark_in_country__0161,landmark_in_country,factual,Kibota Plaza,What country is {} in?,What country is Kibota Plaza in?,clean,,,,0.0,
landmark_in_country__0162,landmark_in_country,factual,Kiduso Hall,What country is {} in?,What country is Kiduso Hall in?,clean,,,,0.0,
landmark_in_country__0163,landmark_in_country,factual,Ruriba Tower,What country is {} in?,What country is Ruriba Tower in?,clean,,,,0.0,
landmark_in_country__0164,landmark_in_country,factual,Setaru Bridge,What country is {} in?,What country is Setaru Bridge in?,clean,,,,0.0,
landmark_in_country__0165,landmark_in_country,factual,Kotasi Bridge,What country is {} in?,What country is Kotasi Bridge in?,clean,,,,0.0,
landmark_in_country__0166,landmark_in_country,factual,Dadese Bridge,What country is {} in?,What country is Dadese Bridge in?,clean,,,,0.0,
landmark_in_country__0167,landmark_in_country,factual,Ribusa Monument,What country is {} in?,What country is Ribusa Monument in?,clean,,,,0.0,
landmark_in_country__0168,landmark_in_country,factual,Dilaku Monument,What country is {} in?,What country is Dilaku Monument in?,clean,,,,0.0,
landmark_in_country__0169,landmark_in_country,factual,Dadosu Monument,What country is {} in?,What country is Dadosu Monument in?,clean,,,,0.0,
landmark_in_country__0170,landmark_in_country,factual,Losuro Monument,What country is {} in?,What country is Losuro Monument in?,clean,,,,0.0,
landmark_in_country__0171,landmark_in_country,factual,Babusi Bridge,What country is {} in?,What country is Babusi Bridge in?,clean,,,,0.0,
landmark_in_country__0172,landmark_in_country,factual,Rubiro Park,What country is {} in?,What country is Rubiro Park in?,clean,,,,0.0,
landmark_in_country__0173,landmark_in_country,factual,Riteko Park,What country is {} in?,What country is Riteko Park in?,clean,,,,0.0,
landmark_in_country__0174,landmark_in_country,factual,Tadoba Hall,What country is {} in?,What country is Tadoba Hall in?,clean,,,,0.0,
landmark_in_country__0175,landmark_in_country,factual,Selusu Bridge,What country is {} in?,What country is Selusu Bridge in?,clean,,,,0.0,
landmark_in_country__0176,landmark_in_country,factual,Dokasa Monument,What country is {} in?,What country is Dokasa Monument in?,clean,,,,0.0,
landmark_in_country__0177,landmark_in_country,factual,Ladoki Plaza,What country is {} in?,What country is Ladoki Plaza in?,clean,,,,0.0,
