subject,n_prompts,relation_keys,norm_subject,verdict,exact_hits,best_source,best_candidate,best_score,best_desc,wiki_exact_titles,wiki_search_titles,n_wikidata_hits
Captain Rite,1,superhero_archnemesis,captainrite,clean,,,,0.0,,,,0
Captain Roba,1,superhero_archnemesis,captainroba,clean,,,,0.0,,,,0
Captain Roda,2,superhero_archnemesis,captainroda,clean,,wikipedia_search,Faisal Antar,0.363636,,,Faisal Antar || Hassan Maatouk,0
Captain Rodu,1,superhero_archnemesis,captainrodu,clean,,,,0.0,,,,0
Captain Roke,1,superhero_archnemesis,captainroke,clean,,wikipedia_search,Mike Dorsey,0.285714,,,Phoenix Five || Mike Dorsey,0
Captain Roko,1,superhero_archnemesis,captainroko,clean,,,,0.0,,,,0
Captain Rora,1,superhero_person,captainrora,clean,,,,0.0,,,,0
Captain Rosi,1,superhero_person,captainrosi,clean,,,,0.0,,,,0
Captain Ruba,1,superhero_archnemesis,captainruba,clean,,,,0.0,,,,0
Captain Rubi,1,superhero_person,captainrubi,clean,,,,0.0,,,,0
Captain Rubo,1,superhero_person,captainrubo,clean,,,,0.0,,,,0
Captain Rubu,1,superhero_person,captainrubu,clean,,,,0.0,,,,0
Captain Rude,1,superhero_archnemesis,captainrude,clean,,wikipedia_search,Gilbert T. Rude,0.434783,,,Gilbert T. Rude || BeNuts,0
Captain Ruki,1,superhero_archnemesis,captainruki,clean,,,,0.0,,,,0
Captain Ruku,1,superhero_person,captainruku,clean,,,,0.0,,,,0
Captain Rula,1,superhero_archnemesis,captainrula,clean,,,,0.0,,,,0
Captain Rulo,1,superhero_person,captainrulo,clean,,,,0.0,,,,0
Captain Ruri,1,superhero_person,captainruri,clean,,,,0.0,,,,0
Captain Ruro,1,superhero_person,captainruro,clean,,,,0.0,,,,0
Captain Rusi,1,superhero_archnemesis,captainrusi,clean,,,,0.0,,,,0
Captain Ruso,1,superhero_archnemesis,captainruso,clean,,,,0.0,,,,0
Captain Sabe,1,superhero_person,captainsabe,clean,,wikidata_search,Captain Sabeltann,0.814815,Videogame,,,9
Captain Sabi,1,superhero_person,captainsabi,clean,,,,0.0,,,,0
Captain Saku,1,superhero_person,captainsaku,clean,,wikipedia_search,2001–02 Montreal Canadiens season,0.35,,,Guy Bertrand (lawyer) || 2001–02 Montreal Canadiens season || Save You (Simple Plan song) || 2006–07 Montreal Canadiens season || 2004–05 Montreal Canadiens season,0
Captain Sali,1,superhero_person,captainsali,ambiguous,,wikidata_search,Captain Salim,0.956522,livestock carrier built in 1971,,,1
Captain Salu,1,superhero_person,captainsalu,clean,,wikidata_search,Captain Salusbury Pryce Humphreys (d.1845),0.478261,"painting by unknown artist, Stockport Heritage Services",,,1
Captain Sara,1,superhero_person,captainsara,clean,,wikidata_search,Captain Saralee Thungthongkam,0.578947,badminton player,,Sara Mackmin || Italy women's national field hockey team || Torneo cibernetico || Germany women's national ice hockey team || CV Deportivo Géminis,1
Captain Sari,1,superhero_archnemesis,captainsari,clean,,wikipedia_search,2019 FIFA Women's World Cup final,0.263158,,,2019 FIFA Women's World Cup final,0
Captain Saro,1,superhero_archnemesis,captainsaro,clean,,,,0.0,,,,0
Captain Sasu,1,superhero_person,captainsasu,clean,,,,0.0,,,,0
Captain Seba,1,superhero_person,captainseba,clean,,wikidata_search,Captain Sebastian Francis Newdigate,0.511628,(1880-1954),,,1
Captain Sebe,2,superhero_archnemesis|superhero_person,captainsebe,clean,,,,0.0,,,,0
Captain Sebi,1,superhero_person,captainsebi,clean,,,,0.0,,,,0
Captain Seda,1,superhero_archnemesis,captainseda,clean,,,,0.0,,,,0
Captain Sedi,1,superhero_person,captainsedi,clean,,,,0.0,,,,0
Captain Sedo,1,superhero_person,captainsedo,clean,,,,0.0,,,,0
Captain Seko,1,superhero_archnemesis,captainseko,clean,,wikipedia_search,Seko Fofana,0.380952,,,Salis Abdul Samed || Seko Fofana,0
Captain Sela,1,superhero_person,captainsela,clean,,wikidata_search,Captain Selah Strong  (?),0.758621,painting by John Neagle,,,2
Captain Selo,1,superhero_person,captainselo,clean,,,,0.0,,,,0
Captain Sere,1,superhero_archnemesis,captainsere,clean,,,,0.0,,,,0
Captain Seru,1,superhero_person,captainseru,clean,,,,0.0,,,,0
Captain Sesa,1,superhero_person,captainsesa,clean,,,,0.0,,,,0
Captain Sese,1,superhero_person,captainsese,clean,,,,0.0,,,,0
Captain Sesu,1,superhero_person,captainsesu,clean,,,,0.0,,,,0
Captain Sibu,3,superhero_archnemesis|superhero_person,captainsibu,clean,,,,0.0,,,,0
Captain Sidi,1,superhero_person,captainsidi,clean,,,,0.0,,,,0
Captain Sido,1,superhero_person,captainsido,clean,,,,0.0,,,,0
Captain Sike,1,superhero_person,captainsike,clean,,,,0.0,,,,0
Captain Silu,1,superhero_person,captainsilu,clean,,,,0.0,,,,0
Captain Sira,1,superhero_person,captainsira,clean,,,,0.0,,,,0
Captain Sisu,1,superhero_archnemesis,captainsisu,clean,,,,0.0,,,,0
Captain Sita,1,superhero_archnemesis,captainsita,clean,,wikipedia_search,Odisha football team,0.344828,,,1950–51 Santosh Trophy || Odisha football team,0
Captain Soke,1,superhero_person,captainsoke,clean,,,,0.0,,,,0
Captain Sola,1,superhero_archnemesis,captainsola,clean,,wikidata_search,"Captain Solar, LLC",0.846154,"power station with capacity >1MW in Genesee County, Michigan",,,1
Captain Sole,1,superhero_archnemesis,captainsole,clean,,wikipedia_search,Japanese in Hawaii,0.296296,,,"Japanese in Hawaii || Trioncube || The Odyssey: A Modern Sequel || Chita, Zabaykalsky Krai",0
Captain Soli,1,superhero_person,captainsoli,clean,,,,0.0,,,,0
Captain Soru,1,superhero_person,captainsoru,clean,,,,0.0,,,,0
Captain Suba,1,superhero_archnemesis,captainsuba,clean,,,,0.0,,,,0
Captain Sude,2,superhero_archnemesis|superhero_person,captainsude,clean,,,,0.0,,,,0
Captain Suke,1,superhero_person,captainsuke,clean,,,,0.0,,,,0
Captain Suko,1,superhero_person,captainsuko,clean,,,,0.0,,,,0
Captain Susi,1,superhero_archnemesis,captainsusi,clean,,,,0.0,,,,0
Captain Tabe,1,superhero_archnemesis,captaintabe,clean,,,,0.0,,,,0
Captain Tabo,1,superhero_archnemesis,captaintabo,clean,,,,0.0,,,,0
Captain Tabu,1,superhero_archnemesis,captaintabu,clean,,,,0.0,,,,0
Captain Tado,1,superhero_archnemesis,captaintado,clean,,,,0.0,,,,0
Captain Tadu,2,superhero_archnemesis|superhero_person,captaintadu,clean,,,,0.0,,,,0
Captain Taki,1,superhero_archnemesis,captaintaki,clean,,wikipedia_search,Battle Club,0.095238,,,Battle Club,0
Captain Tako,1,superhero_archnemesis,captaintako,clean,,,,0.0,,,,0
Captain Tala,1,superhero_person,captaintala,clean,,,,0.0,,,,0
Captain Taro,1,superhero_person,captaintaro,clean,,wikipedia_search,List of Air Fleets of the Imperial Japanese Navy,0.196078,,,List of Air Fleets of the Imperial Japanese Navy,0
Captain Taso,2,superhero_person,captaintaso,clean,,,,0.0,,,,0
Captain Teba,1,superhero_archnemesis,captainteba,clean,,,,0.0,,,,0
Captain Tebo,1,superhero_archnemesis,captaintebo,clean,,,,0.0,,,,0
Captain Tede,1,superhero_archnemesis,captaintede,clean,,,,0.0,,,,0
Captain Tedi,1,superhero_person,captaintedi,clean,,wikipedia_search,2025 Billie Jean King Cup Europe/Africa Zone,0.166667,,,2025 Billie Jean King Cup Europe/Africa Zone,0
Captain Teka,1,superhero_person,captainteka,clean,,,,0.0,,,,0
Captain Teki,1,superhero_person,captainteki,clean,,,,0.0,,,,0
Captain Teko,2,superhero_person,captainteko,clean,,wikipedia_search,Hollywoodbets,0.083333,,,Hollywoodbets,0
Captain Teri,1,superhero_person,captainteri,clean,,wikipedia_search,Jasmine Guy,0.380952,,,Korea Patrol || Jasmine Guy || Battle of the Network Stars,0
Captain Teru,2,superhero_archnemesis,captainteru,clean,,wikipedia_search,"Walk, Don't Run (film)",0.384615,,,"Walk, Don't Run (film)",0
Captain Tese,2,superhero_person,captaintese,clean,,,,0.0,,,,0
Captain Tesi,1,superhero_archnemesis,captaintesi,clean,,,,0.0,,,,0
Captain Teso,3,superhero_archnemesis|superhero_person,captainteso,clean,,,,0.0,,,,0
Captain Teta,1,superhero_archnemesis,captainteta,clean,,,,0.0,,,,0
Dabalu Holdings,1,company_hq,dabaluholdings,clean,,,,0.0,,,,0
Dabasa Tower,1,landmark_in_country,dabasatower,clean,,,,0.0,,,,0
Dabo Katedi,1,person_mother,dabokatedi,clean,,,,0.0,,,,0
Dabo Kateru,1,person_plays_pro_sport,dabokateru,clean,,,,0.0,,,,0
Dabo Kateso,1,person_occupation,dabokateso,clean,,,,0.0,,,,0
Dabu Kadeki,1,person_university,dabukadeki,clean,,,,0.0,,,,0
Dabu-35717,1,star_constellation,dabu35717,clean,,,,0.0,,,,0
Dabu-44101,1,star_constellation,dabu44101,clean,,,,0.0,,,,0
Dabura Park,1,landmark_in_country,daburapark,clean,,,,0.0,,,,0
Dabute Partners,1,company_hq,dabutepartners,clean,,,,0.0,,,,0
Dade Karasi,1,person_university,dadekarasi,clean,,,,0.0,,,,0
Dade-58597,1,star_constellation,dade58597,clean,,,,0.0,,,,0
Dadeki Suite,1,product_by_company,dadekisuite,clean,,,,0.0,,,,0
Dadese Bridge,1,landmark_in_country,dadesebridge,clean,,,,0.0,,,,0
Dadi Kasiko,1,person_plays_position_in_sport,dadikasiko,clean,,,,0.0,,,,0
Dadi Kasiku,1,person_university,dadikasiku,clean,,,,0.0,,,,0
Dadi Kasilo,1,person_mother,dadikasilo,clean,,,,0.0,,,,0
Dadi-79429,1,star_constellation,dadi79429,clean,,,,0.0,,,,0
Dado Kabika,1,person_plays_instrument,dadokabika,clean,,,,0.0,,,,0
Dado Kabiko,1,person_father,dadokabiko,clean,,,,0.0,,,,0
Dado Kabita,1,person_mother,dadokabita,clean,,,,0.0,,,,0
Dadosu Monument,1,landmark_in_country,dadosumonument,clean,,,,0.0,,,,0
Dadu Kaduso,1,person_father,dadukaduso,clean,,,,0.0,,,,0
Dadure Systems,1,company_ceo,daduresystems,clean,,,,0.0,,,,0
Dakado Partners,1,company_hq,dakadopartners,clean,,,,0.0,,,,0
Dake Karoro,1,person_plays_pro_sport,dakekaroro,clean,,,,0.0,,,,0
Dake-89253,1,star_constellation,dake89253,clean,,,,0.0,,,,0
Daki Katala,1,person_father,dakikatala,clean,,,,0.0,,,,0
Daki Katase,1,person_occupation,dakikatase,clean,,,,0.0,,,,0
Dako Kadaba,1,person_plays_pro_sport,dakokadaba,clean,,,,0.0,,,,0
Dako Kadadi,1,person_occupation,dakokadadi,clean,,,,0.0,,,,0
Dakoku Labs,1,company_ceo,dakokulabs,clean,,,,0.0,,,,0
Daku Kakibe,1,person_occupation,dakukakibe,clean,,,,0.0,,,,0
Daku Kakiki,1,person_father,dakukakiki,clean,,,,0.0,,,,0
Dakuki Platform,1,product_by_company,dakukiplatform,clean,,,,0.0,,,,0
Dala Kaluko,1,person_father,dalakaluko,clean,,,,0.0,,,,0
Dala Kaluri,1,person_occupation,dalakaluri,clean,,,,0.0,,,,0
Dalaku Platform,1,product_by_company,dalakuplatform,clean,,,,0.0,,,,0
Dale Kasebo,1,person_occupation,dalekasebo,clean,,,,0.0,,,,0
Dale Kaseke,1,person_plays_pro_sport,dalekaseke,clean,,,,0.0,,,,0
Dale Kaseli,1,person_plays_instrument,dalekaseli,clean,,,,0.0,,,,0
Dale Kaselo,1,person_father,dalekaselo,clean,,,,0.0,,,,0
Dale Kasero,1,person_plays_position_in_sport,dalekasero,clean,,,,0.0,,,,0
Dalebi Group,1,company_hq,dalebigroup,clean,,,,0.0,,,,0
Daleko Technologies,1,company_hq,dalekotechnologies,clean,,,,0.0,,,,0
Dalete Systems,1,company_ceo,daletesystems,clean,,,,0.0,,,,0
Dali Kabesu,1,person_occupation,dalikabesu,clean,,,,0.0,,,,0
Dalisi Tower,1,landmark_in_country,dalisitower,clean,,,,0.0,,,,0
Dalo Kadosa,1,person_plays_instrument,dalokadosa,clean,,,,0.0,,,,0
Dalo-50501,1,star_constellation,dalo50501,clean,,,,0.0,,,,0
Daloke Museum,1,landmark_in_country,dalokemuseum,clean,,,,0.0,,,,0
Dalu Kaladu,1,person_university,dalukaladu,clean,,,,0.0,,,,0
Dalu Kalaro,1,person_father,dalukalaro,clean,,,,0.0,,,,0
Dalu Kalase,1,person_occupation,dalukalase,clean,,,,0.0,,,,0
Daluba Group,1,company_ceo,dalubagroup,clean,,,,0.0,,,,0
Dalubo Technologies,1,company_ceo,dalubotechnologies,clean,,,,0.0,,,,0
Dara Karibu,1,person_university,darakaribu,clean,,,,0.0,,,,0
Dara Kariki,1,person_father,darakariki,clean,,,,0.0,,,,0
Dara Karila,1,person_father,darakarila,clean,,,,0.0,,,,0
Dara Kariso,1,person_plays_pro_sport,darakariso,clean,,,,0.0,,,,0
Dararu Museum,1,landmark_in_country,dararumuseum,clean,,,,0.0,,,,0
Dare Kasula,1,person_plays_instrument,darekasula,clean,,,,0.0,,,,0
Dareta Bridge,1,landmark_in_country,daretabridge,clean,,,,0.0,,,,0
Daro Kakelu,1,person_father,darokakelu,clean,,,,0.0,,,,0
Darobe Technologies,1,company_ceo,darobetechnologies,clean,,,,0.0,,,,0
Darolo Museum,1,landmark_on_continent,darolomuseum,clean,,,,0.0,,,,0
Darose Partners,1,company_ceo,darosepartners,clean,,,,0.0,,,,0
Daru Kalolo,1,person_mother,darukalolo,clean,,,,0.0,,,,0
Daruru Plaza,1,landmark_in_country,daruruplaza,clean,,,,0.0,,,,0
Dasabi Corp,1,company_hq,dasabicorp,clean,,,,0.0,,,,0
Dasako Partners,1,company_ceo,dasakopartners,clean,,,,0.0,,,,0
Dasedo Toolkit,1,product_by_company,dasedotoolkit,clean,,,,0.0,,,,0
Daseka Platform,1,product_by_company,dasekaplatform,clean,,,,0.0,,,,0
Dasera Labs,1,company_hq,daseralabs,clean,,,,0.0,,,,0
Dasili Systems,1,company_hq,dasilisystems,clean,,,,0.0,,,,0
Daso Kakula,1,person_occupation,dasokakula,clean,,,,0.0,,,,0
Daso-04037,1,star_constellation,daso04037,clean,,,,0.0,,,,0
Dasoso Bridge,1,landmark_in_country,dasosobridge,clean,,,,0.0,,,,0
Dasu Karedi,1,person_university,dasukaredi,clean,,,,0.0,,,,0
Dasu Karesi,1,person_mother,dasukaresi,clean,,,,0.0,,,,0
Date Kaboru,1,person_mother,datekaboru,clean,,,,0.0,,,,0
Date Kabosu,1,person_university,datekabosu,clean,,,,0.0,,,,0
Date-11813,1,star_constellation,date11813,clean,,,,0.0,,,,0
Datebu Holdings,1,company_hq,datebuholdings,clean,,,,0.0,,,,0
Dateki Tower,1,landmark_on_continent,datekitower,clean,,,,0.0,,,,0
Deba Litebu,1,person_plays_pro_sport,debalitebu,clean,,,,0.0,,,,0
Debaro Suite,1,product_by_company,debarosuite,clean,,,,0.0,,,,0
Debe Lidedo,1,person_father,debelidedo,clean,,,,0.0,,,,0
Debe Lideke,1,person_mother,debelideke,clean,,,,0.0,,,,0
Debesu Monument,1,landmark_on_continent,debesumonument,clean,,,,0.0,,,,0
Debi Likoka,1,person_plays_position_in_sport,debilikoka,clean,,,,0.0,,,,0
Debi Likoke,1,person_university,debilikoke,clean,,,,0.0,,,,0
Debi Likoso,1,person_mother,debilikoso,clean,,,,0.0,,,,0
Debili Monument,1,landmark_in_country,debilimonument,clean,,,,0.0,,,,0
Debo Liraki,1,person_plays_instrument,deboliraki,clean,,,,0.0,,,,0
Debo Lirari,1,person_plays_position_in_sport,debolirari,clean,,,,0.0,,,,0
Debo Lirase,1,person_plays_pro_sport,debolirase,clean,,,,0.0,,,,0
Debu Lisiki,1,person_mother,debulisiki,clean,,,,0.0,,,,0
Debu Lisili,1,person_plays_pro_sport,debulisili,clean,,,,0.0,,,,0
Deda Libibi,1,person_plays_pro_sport,dedalibibi,clean,,,,0.0,,,,0
Deda Libika,1,person_mother,dedalibika,clean,,,,0.0,,,,0
Deda-07142,1,star_constellation,deda07142,clean,,,,0.0,,,,0
Dede Lidusu,1,person_plays_position_in_sport,dedelidusu,clean,,,,0.0,,,,0
Dedese Hall,1,landmark_on_continent,dedesehall,clean,,,,0.0,,,,0
Dedi Lileki,1,person_father,dedilileki,clean,,,,0.0,,,,0
Dedo Lirodu,1,person_plays_instrument,dedolirodu,clean,,,,0.0,,,,0
Dedo Lirose,1,person_plays_instrument,dedolirose,clean,,,,0.0,,,,0
Dedoro Partners,1,company_hq,dedoropartners,clean,,,,0.0,,,,0
Dedu Litasa,1,person_mother,dedulitasa,clean,,,,0.0,,,,0
Dedudi Group,1,company_ceo,dedudigroup,clean,,,,0.0,,,,0
Deduko Holdings,1,company_ceo,dedukoholdings,clean,,,,0.0,,,,0
Deka Lidaka,1,person_plays_instrument,dekalidaka,clean,,,,0.0,,,,0
Deka Lidaru,1,person_occupation,dekalidaru,clean,,,,0.0,,,,0
Deke Likiku,1,person_mother,dekelikiku,clean,,,,0.0,,,,0
Deke Likiso,1,person_father,dekelikiso,clean,,,,0.0,,,,0
Dekeki Tower,1,landmark_on_continent,dekekitower,clean,,,,0.0,,,,0
Dekere Group,1,company_hq,dekeregroup,clean,,,,0.0,,,,0
Deki Lilube,1,person_university,dekililube,clean,,,,0.0,,,,0
Deko Liseta,1,person_plays_pro_sport,dekoliseta,clean,,,,0.0,,,,0
Dekosu Tower,1,landmark_on_continent,dekosutower,clean,,,,0.0,,,,0
Deku Libebu,1,person_plays_pro_sport,dekulibebu,clean,,,,0.0,,,,0
Dela Lidoba,1,person_university,delalidoba,clean,,,,0.0,,,,0
Dela Lidore,1,person_occupation,delalidore,clean,,,,0.0,,,,0
Dela Lidoru,1,person_plays_instrument,delalidoru,clean,,,,0.0,,,,0
Dela Lidota,1,person_plays_pro_sport,delalidota,clean,,,,0.0,,,,0
Dele Lilaki,1,person_plays_instrument,delelilaki,clean,,,,0.0,,,,0
Delebo Partners,1,company_ceo,delebopartners,clean,,,,0.0,,,,0
Deli Liribi,1,person_plays_instrument,deliliribi,clean,,,,0.0,,,,0
Deli Liriku,1,person_plays_position_in_sport,deliliriku,clean,,,,0.0,,,,0
Delida Partners,1,company_ceo,delidapartners,clean,,,,0.0,,,,0
Deliku Group,1,company_ceo,delikugroup,clean,,,,0.0,,,,0
Delo Lisudi,1,person_university,delolisudi,clean,,,,0.0,,,,0
Delo Lisuso,1,person_plays_instrument,delolisuso,clean,,,,0.0,,,,0
Delule Park,1,landmark_on_continent,delulepark,clean,,,,0.0,,,,0
Dera Likede,1,person_occupation,deralikede,clean,,,,0.0,,,,0
Dera Likele,1,person_university,deralikele,clean,,,,0.0,,,,0
Dera Likero,1,person_mother,deralikero,clean,,,,0.0,,,,0
Dereba Corp,1,company_ceo,derebacorp,clean,,,,0.0,,,,0
Deribu Park,1,landmark_on_continent,deribupark,clean,,,,0.0,,,,0
Dero Libaru,1,person_mother,derolibaru,clean,,,,0.0,,,,0
Deru Lidila,1,person_occupation,derulidila,clean,,,,0.0,,,,0
Deru Lidiso,1,person_plays_instrument,derulidiso,clean,,,,0.0,,,,0
Derulo Corp,1,company_hq,derulocorp,clean,,,,0.0,,,,0
Desala Holdings,1,company_hq,desalaholdings,clean,,,,0.0,,,,0
Desaru Park,1,landmark_on_continent,desarupark,clean,,,,0.0,,,,0
Desi Lisobu,1,person_father,desilisobu,clean,,,,0.0,,,,0
Desi Lisoda,1,person_university,desilisoda,clean,,,,0.0,,,,0
Desile Monument,1,landmark_on_continent,desilemonument,clean,,,,0.0,,,,0
Deso-79622,1,star_constellation,deso79622,clean,,,,0.0,,,,0
Desu Likaku,1,person_occupation,desulikaku,clean,,,,0.0,,,,0
Desu Likalo,1,person_plays_position_in_sport,desulikalo,clean,,,,0.0,,,,0
Desuki Tower,1,landmark_in_country,desukitower,clean,,,,0.0,,,,0
Deta Lilibi,1,person_plays_instrument,detalilibi,clean,,,,0.0,,,,0
Dete Lirudi,1,person_occupation,detelirudi,clean,,,,0.0,,,,0
Dete Lirudu,1,person_mother,detelirudu,clean,,,,0.0,,,,0
Dete Liruli,1,person_plays_instrument,deteliruli,clean,,,,0.0,,,,0
Diba Ruralo,1,person_university,dibaruralo,clean,,,,0.0,,,,0
Dibari Museum,1,landmark_in_country,dibarimuseum,clean,,,,0.0,,,,0
Dibe Rusibo,1,person_plays_pro_sport,diberusibo,clean,,,,0.0,,,,0
Dibe Rusiku,1,person_father,diberusiku,clean,,,,0.0,,,,0
Dibeke Partners,1,company_hq,dibekepartners,clean,,,,0.0,,,,0
Dibi-67815,1,star_constellation,dibi67815,clean,,,,0.0,,,,0
Dibo Ruduka,1,person_plays_instrument,diboruduka,clean,,,,0.0,,,,0
Dibo Rudura,1,person_plays_instrument,diborudura,clean,,,,0.0,,,,0
Diboko Systems,1,company_ceo,dibokosystems,clean,,,,0.0,,,,0
Dida Rurodu,1,person_plays_position_in_sport,didarurodu,clean,,,,0.0,,,,0
Dida Rurolu,1,person_plays_position_in_sport,didarurolu,clean,,,,0.0,,,,0
Dide Rutata,1,person_university,diderutata,clean,,,,0.0,,,,0
Dide-88999,1,star_constellation,dide88999,clean,,,,0.0,,,,0
Didera Partners,1,company_ceo,diderapartners,clean,,,,0.0,,,,0
Dideri Park,1,landmark_in_country,dideripark,clean,,,,0.0,,,,0
Didi Rudake,1,person_mother,didirudake,clean,,,,0.0,,,,0
Didi Rudaro,2,person_plays_position_in_sport|person_plays_pro_sport,didirudaro,clean,,,,0.0,,,,0
Didibe Park,1,landmark_on_continent,didibepark,clean,,,,0.0,,,,0
Dididi Systems,1,company_ceo,dididisystems,clean,,,,0.0,,,,0
Dido-34983,1,star_constellation,dido34983,clean,,,,0.0,,,,0
Didulo Toolkit,1,product_by_company,didulotoolkit,clean,,,,0.0,,,,0
Dike Rubeba,1,person_plays_instrument,dikerubeba,clean,,,,0.0,,,,0
Dike Rubeda,1,person_plays_instrument,dikerubeda,clean,,,,0.0,,,,0
Dike-49415,1,star_constellation,dike49415,clean,,,,0.0,,,,0
Diki Rudode,1,person_university,dikirudode,clean,,,,0.0,,,,0
Diki Rudoli,1,person_plays_pro_sport,dikirudoli,clean,,,,0.0,,,,0
Dikiru Bridge,1,landmark_in_country,dikirubridge,clean,,,,0.0,,,,0
Diko Ruladi,1,person_mother,dikoruladi,clean,,,,0.0,,,,0
Diko Ruladu,1,person_father,dikoruladu,clean,,,,0.0,,,,0
Diko Rulalu,1,person_plays_instrument,dikorulalu,clean,,,,0.0,,,,0
Diku Ruriri,1,person_university,dikururiri,clean,,,,0.0,,,,0
Dikubo Labs,1,company_ceo,dikubolabs,clean,,,,0.0,,,,0
Dikude Park,1,landmark_on_continent,dikudepark,clean,,,,0.0,,,,0
Dikuke Tower,1,landmark_in_country,dikuketower,clean,,,,0.0,,,,0
Dikule Systems,1,company_ceo,dikulesystems,clean,,,,0.0,,,,0
Dikuru Plaza,1,landmark_on_continent,dikuruplaza,clean,,,,0.0,,,,0
Dila Rusuki,1,person_father,dilarusuki,clean,,,,0.0,,,,0
Dilaku Monument,1,landmark_in_country,dilakumonument,clean,,,,0.0,,,,0
Dilale Labs,1,company_hq,dilalelabs,clean,,,,0.0,,,,0
Dilebe Group,1,company_ceo,dilebegroup,clean,,,,0.0,,,,0
Dilela Systems,1,company_ceo,dilelasystems,clean,,,,0.0,,,,0
Dilele Technologies,1,company_ceo,dileletechnologies,clean,,,,0.0,,,,0
Dilete Partners,1,company_hq,diletepartners,clean,,,,0.0,,,,0
Dilike Labs,1,company_ceo,dilikelabs,clean,,,,0.0,,,,0
Diliru Engine,1,product_by_company,diliruengine,clean,,,,0.0,,,,0
Dilo-76871,1,star_constellation,dilo76871,clean,,,,0.0,,,,0
Dilosi Partners,1,company_hq,dilosipartners,clean,,,,0.0,,,,0
Dilu Rusaro,1,person_plays_instrument,dilurusaro,clean,,,,0.0,,,,0
Diluko Systems,1,company_ceo,dilukosystems,clean,,,,0.0,,,,0
Dira Rubari,1,person_plays_instrument,dirarubari,clean,,,,0.0,,,,0
Dira-34599,1,star_constellation,dira34599,clean,,,,0.0,,,,0
Dirada Corp,1,company_ceo,diradacorp,clean,,,,0.0,,,,0
Dirale Platform,1,product_by_company,diraleplatform,clean,,,,0.0,,,,0
Dire Rudisa,1,person_plays_position_in_sport,direrudisa,clean,,,,0.0,,,,0
Dire Rudisi,1,person_plays_pro_sport,direrudisi,clean,,,,0.0,,,,0
Diri Rukude,2,person_father|person_university,dirirukude,clean,,,,0.0,,,,0
Diri Rukudu,1,person_plays_instrument,dirirukudu,clean,,,,0.0,,,,0
Diri Rukuki,1,person_father,dirirukuki,clean,,,,0.0,,,,0
Dirire Device,1,product_by_company,diriredevice,clean,,,,0.0,,,,0
Diro Rurete,1,person_plays_position_in_sport,dirorurete,clean,,,,0.0,,,,0
Dirode Group,1,company_hq,dirodegroup,clean,,,,0.0,,,,0
Dirodu Tower,1,landmark_on_continent,dirodutower,clean,,,,0.0,,,,0
Diroko Monument,1,landmark_in_country,dirokomonument,clean,,,,0.0,,,,0
Diroko Plaza,1,landmark_on_continent,dirokoplaza,clean,,,,0.0,,,,0
Diru Rusota,1,person_occupation,dirurusota,clean,,,,0.0,,,,0
Diruri Group,1,company_ceo,dirurigroup,clean,,,,0.0,,,,0
Disa Ruboda,1,person_occupation,disaruboda,clean,,,,0.0,,,,0
Disa Ruboko,1,person_father,disaruboko,clean,,,,0.0,,,,0
Disa Ruboli,1,person_father,disaruboli,clean,,,,0.0,,,,0
Disa Rubosu,1,person_plays_pro_sport,disarubosu,clean,,,,0.0,,,,0
Disa-17031,1,star_constellation,disa17031,clean,,,,0.0,,,,0
Disabi App,1,product_by_company,disabiapp,clean,,,,0.0,,,,0
Dise Rukako,1,person_plays_instrument,diserukako,clean,,,,0.0,,,,0
Diseka Corp,1,company_ceo,disekacorp,clean,,,,0.0,,,,0
Disi Rulire,1,person_university,disirulire,clean,,,,0.0,,,,0
Disi Ruliro,1,person_plays_pro_sport,disiruliro,clean,,,,0.0,,,,0
Disiru Partners,1,company_ceo,disirupartners,clean,,,,0.0,,,,0
Diso Rurubi,1,person_plays_position_in_sport,disorurubi,clean,,,,0.0,,,,0
Diso Rurude,1,person_plays_pro_sport,disorurude,clean,,,,0.0,,,,0
Diso Rurudi,1,person_occupation,disorurudi,clean,,,,0.0,,,,0
Diso Ruruke,1,person_plays_pro_sport,disoruruke,clean,,,,0.0,,,,0
Diso Rururu,1,person_mother,disorururu,clean,,,,0.0,,,,0
Disoko Systems,1,company_ceo,disokosystems,clean,,,,0.0,,,,0
Disosa Suite,1,product_by_company,disosasuite,clean,,,,0.0,,,,0
Disu Rutela,1,person_plays_position_in_sport,disurutela,clean,,,,0.0,,,,0
Dita Rudedi,1,person_university,ditarudedi,clean,,,,0.0,,,,0
Ditaku Plaza,1,landmark_on_continent,ditakuplaza,clean,,,,0.0,,,,0
Ditari Toolkit,1,product_by_company,ditaritoolkit,clean,,,,0.0,,,,0
Ditaro Technologies,1,company_hq,ditarotechnologies,clean,,,,0.0,,,,0
Dite Rukoko,1,person_plays_position_in_sport,diterukoko,clean,,,,0.0,,,,0
Dite Rukole,1,person_occupation,diterukole,clean,,,,0.0,,,,0
Dite Rukoso,1,person_plays_pro_sport,diterukoso,clean,,,,0.0,,,,0
Dite-35687,1,star_constellation,dite35687,clean,,,,0.0,,,,0
Doba Tedule,1,person_occupation,dobatedule,clean,,,,0.0,,,,0
Doba Teduru,1,person_plays_position_in_sport,dobateduru,clean,,,,0.0,,,,0
Dobara Systems,1,company_ceo,dobarasystems,clean,,,,0.0,,,,0
Dobasi Corp,1,company_ceo,dobasicorp,clean,,,,0.0,,,,0
